Mach	Alpha	CA Power-On	CN	CP
0.33	2	0.664053109	0.805897084	128.4528665
0.34	2	0.661545159	0.805897084	128.4528665
0.35	2	0.659137903	0.805897084	128.4528665
0.36	2	0.656824991	0.805897084	128.4528665
0.37	2	0.65460059	0.805897084	128.4528665
0.38	2	0.652459366	0.805897084	128.4528665
0.39	2	0.65039647	0.805897084	128.4528665
0.4	2	0.648407387	0.805897084	128.4528665
0.41	2	0.646488082	0.805897084	128.4528665
0.42	2	0.644634695	0.805897084	128.4528665
0.43	2	0.642843766	0.805897084	128.4528665
0.44	2	0.64111206	0.805897084	128.4528665
0.45	2	0.639436558	0.805897084	128.4528665
0.46	2	0.637814516	0.805897084	128.4528665
0.47	2	0.636243257	0.805897084	128.4528665
0.48	2	0.634720449	0.805897084	128.4528665
0.49	2	0.633243779	0.805897084	128.4528665
0.5	2	0.631811215	0.805897084	128.4528665
0.51	2	0.630420742	0.805897084	128.4528665
0.52	2	0.629070476	0.805897084	128.4528665
0.53	2	0.62775871	0.805897084	128.4528665
0.54	2	0.626483869	0.805897084	128.4528665
0.55	2	0.625244353	0.805897084	128.4528665
0.56	2	0.624038814	0.805897084	128.4528665
0.57	2	0.622865794	0.805897084	128.4528665
0.58	2	0.621724048	0.805897084	128.4528665
0.59	2	0.620109681	0.805897084	128.4528665
0.6	2	0.618524225	0.805897084	128.4528665
0.61	2	0.617713921	0.805897084	128.4528665
0.62	2	0.616899422	0.805897084	128.4528665
0.63	2	0.616106805	0.805897084	128.4528665
0.64	2	0.61533526	0.805897084	128.4528665
0.65	2	0.614584029	0.805897084	128.4528665
0.66	2	0.613852316	0.805897084	128.4528665
0.67	2	0.613139538	0.805897084	128.4528665
0.68	2	0.61244502	0.805897084	128.4528665
0.69	2	0.611768043	0.805897084	128.4528665
0.7	2	0.611108114	0.805897084	128.4528665
0.71	2	0.610464622	0.805897084	128.4528665
0.72	2	0.609837038	0.805897084	128.4528665
0.73	2	0.609224831	0.805897084	128.4528665
0.74	2	0.608627522	0.805897084	128.4528665
0.75	2	0.608044669	0.805897084	128.4528665
0.76	2	0.607475727	0.805897084	128.4528665
0.77	2	0.606920372	0.805897084	128.4528665
0.78	2	0.60637813	0.805897084	128.4528665
